id,title,url,editors,year,in_franzini,in_sahle,franzini_id,tei_declared,xml_downloadable,available,period,language,variance,ride
1048,The Samuel Taylor Coleridge Archive,https://web.archive.org/web/20100312073610/http://etext.lib.virginia.edu:80/stc/Coleridge/stc.html,"Created by Marjorie A. Tiefert. Charlottesville (VA): University of Virginia, 1994-1999.",1994,no,yes,,,,,,,,
1049,The Selected Papers of John Jay Digital Edition,https://rotunda.upress.virginia.edu/founders/JNJY.html,"Elizabeth M. Nuxoll, editor. Charlottesville: University of Virginia Press / Rotunda, 2014–.",2014,no,yes,,,,,,,,
1050,The Shakespeare Quartos Archive,https://wayback.archive-it.org/org-467/20191016094633/http://quartos.org/,"Ed. by Richard Ovenden. Oxford: Bodleian Library, 2004.",2004,no,yes,,,,,,,,
1051,The Shelley-Godwin Archive,http://www.shelleygodwinarchive.org/,"Directed by Elizabeth C. Denlinger and Neil Fraistat. College Park (MD): Maryland Institute for Technology in the Humanities, 2013.",2013,yes,yes,122,yes,no,yes,Early Modern,ENG,not provided,no
1052,The Sibley Watson Digital Archive,https://dslab.lib.rochester.edu/esw/,"Initially conceived by Marjorie Barkin Searl and Lu Harper. Rochester: University of Rochester / Digital Scholarship Lab, s.a. [probably 2018].",2018,no,yes,,,,,,,,
1053,The Siege of Gibraltar & Miscellaneous Pieces: The Works of Catherine Upton,https://romantic-circles.org/editions/upton/index.html,"Ed. by Dan Froid. A Romantic Circles Electronic Edition. College Park (MD): University of Maryland, 2017.",2017,no,yes,,,,,,,,
1054,"The Speeches and Articles of Margaret Sanger, 1911-1959: A Digital Edition",http://sangerpapers.org/documents/aboutedition.php,"Directed by Dr. Esther Katz. New York: The Margaret Sanger Papers Project, New York University, 2015-.",2015,no,yes,,,,,,,,
1055,The SpokenWeb Digital Anthology,https://hipstas.github.io/spokenweb-anthology/,"Ed. by Zoe Bursztajn-Illingworth and Tanya Clement. Austin: University of Texas, 2023.",2023,no,yes,,,,,,,,
1056,The St Gall Priscian Glosses,http://www.stgallpriscian.ie,"Ed. by Pádraic Moran. Galway: National University of Ireland, 2010-.",2010,yes,yes,32,partly,yes,yes,Middle Ages,LAT,not provided,no
1057,The Svoboda Diary Project,http://courses.washington.edu/otap/svoboda/public/index.html,,,yes,no,61,no,no,no,Long Nineteenth Century,ARA,not provided,no
1058,The Thomas Gray Archive,http://www.thomasgray.org/,"Ed. by Alexander Huber. Oxford: Bodleian Libraries / University of Oxford, 2000-.",2000,yes,yes,2,yes,yes,yes,Early Modern,ENG; LAT; GRE,yes,no
1059,The Thomas MacGreevy Archive,http://www.macgreevy.org,Ed. by Susan Schreibman et al. Dublin / College Park (MD): 2001-2007.,2001,no,yes,,,,,,,,
1060,The Thomas Nashe Project,https://research.ncl.ac.uk/thethomasnasheproject/,"Ed. by Jennifer Richards. Newcastle upon Tyne: Newcastle University, 2017.",2017,no,yes,,,,,,,,
