id,Edition name,URL,Historical Period,Language,Writing support,Account of textual variance,Value of witnesses,Text-Image Linking,Images,Indices,Linked Open Data,API,Source Text Translation,XML-TEI Transcription,XML(-TEI) available to download,RIDE review,Sahle Catalog
299,Armer Heinrich Digital,http://digi.ub.uni-heidelberg.de/ahd/,Middle Ages,GMH,Manuscript,yes,yes,no,yes,no,no,no,GER,yes,yes,no,no
302,travel!digital,https://traveldigital.acdh.oeaw.ac.at/,Long Nineteenth Century,GER,Printed book,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,no
303,"Mächtekongresse 1818–1822. Digitale Edition der Dokumente zu den Kongressen von Aachen (1818), Troppau (1820), Laibach (1821) und Verona (1822)",https://maechtekongresse.acdh.oeaw.ac.at/,Long Nineteenth Century,FRA; ENG; GER,Manuscript; printed additional sources,yes,yes,no,no,yes,yes,yes,no,yes,yes,no,no
304,Tagebücher von Andreas Okopenko. Digitale Edition,https://edition.onb.ac.at/okopenko,Modern,GER,Diary,yes,yes,no,yes,yes,yes,no,no,yes,yes,https://ride.i-d-e.de/issues/issue-17/okopenko/,yes
305,Ulrich Richental die Chronik des Konzils von Konstanz,https://edition.mgh.de/001/,Middle Ages,GMH,Manuscript,partly,yes,no,no,yes,no,no,no,yes,yes,no,no
309,Grundtvigs Vaerker (The complete works of N.F.S. Grundtvig),http://grundtvigsvaerker.dk,Long Nineteenth Century,DAN,Book; Articles,no,yes,no,yes,yes,no,no,no,yes,partly,no,no
310,Die Korrespondenz von Leo von Thun-Hohenstein,https://thun-korrespondenz.acdh.oeaw.ac.at/,Long Nineteenth Century,GER,Letter,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no
311,Inscriptions of Greek Cyrenaica - Greek Verse Inscriptions of Cyrenaica,https://igcyr.unibo.it,Antiquity,GRC,Bronze; ceramics; clay; lead; limestone; marble; pebbles; plaster; rock; sandstone; stone; terracotta; tufa; ware,yes,yes,no,yes,yes,yes,no,ENG; ITA; FRA; ARA,yes,yes,no,yes
313,Samuel Hahnemann - Digitale kritische Edition - Krankenjournal DF5,https://www.hahnemann-edition.de/index.html,Long Nineteenth Century,FRE; GER,Diary,yes,yes,yes,yes,no,no,no,no,yes,yes,no,no
314,Arthur Schnitzler – Briefwechsel mit Autorinnen und Autoren,https://schnitzler-briefe.acdh.oeaw.ac.at,Long Nineteenth Century; Modern,GER,Letter,yes,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes
316,Protokolle des Bayerischen Staatsrats,https://www.bayerischer-staatsrat.de,Long Nineteenth Century,GER,Minutes,partly,no,no,yes,yes,no,no,no,yes,yes,no,yes
317,The glosses to the first book of the Etymologiae of Isidore of Seville: a digital scholarly edition,https://db.innovatingknowledge.nl/edition,Middle Ages,LAT,Manuscript,yes,yes,no,no,no,no,no,no,yes,yes,no,yes
319,Alexander von Humboldt: Sämtliche Schriften digital,https://humboldt.unibe.ch/text,Long Nineteenth Century,GER; FRE; LAT; ENG; SPA; POR; HEB; SWE; DAN; DUT; HUN; RUS; ITA; POL,Print,yes,yes,no,partly,yes,no,no,no,yes,yes,no,yes
320,Mystische Bücher in der Bibliothek der Kartause Erfurt. Digitale Edition,https://making-mysticism.org/edition/1.0/html/,Middle Ages,LAT,Codex,yes,yes,yes,yes,yes,no,no,GER,yes,yes,no,yes
321,Peter Handke: Notizbücher. Digitale Edition,http://edition.onb.ac.at/handke-notizbuecher,Contemporary,GER,Notebook,yes,yes,yes,yes,yes,yes,yes,GER,yes,yes,no,yes
322,Gottfried Semper. Critical and Commented Edition,https://semper-edition.ch/,Long Nineteenth Century,GER,Paper,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes
325,Arthur Schnitzler – Chronik. Eine digitale Ressource zu den einzelnen Tagen seines Lebens,https://schnitzler-chronik.acdh.oeaw.ac.at/,Long Nineteenth Century; Modern,GER,Letter; diary entry; list,yes,yes,no,no,no,yes,no,no,yes,yes,no,no
326,Clara Katharina Pollaczek: Arthur Schnitzler und ich. Digitale Ausgabe,https://pollaczek.acdh.oeaw.ac.at/,Long Nineteenth Century; Modern,GER,Letter; diary entry; note,yes,yes,no,yes,yes,yes,no,no,yes,yes,no,no
